"銘柄名"	"銘柄コード"	"市場部略称"	"T"	"現在値"	"時刻"	"前日比"	"前日比率"	"出来高"
"東海カーボン"	"5301"	"東１"	"▼"	"1,279.0"	"15:00"	"-18.0"	"-1.39%"	"6,713,500"
"日本カーボン"	"5302"	"東１"	"▲"	"4,880.0"	"15:00"	"-55.0"	"-1.11%"	"297,600"
"ＳＥＣカーボン"	"5304"	"東２"	"▲"	"9,820.0"	"15:00"	"-120.0"	"-1.21%"	"42,100"
"東洋炭素"	"5310"	"東１"	"▼"	"2,196.0"	"15:00"	"+18.0"	"+0.83%"	"140,900"
"ノリタケ"	"5331"	"東１"	"▼"	"5,390.0"	"15:00"	"+10.0"	"+0.19%"	"32,600"
"ＴＯＴＯ"	"5332"	"東１"	"▼"	"4,690.0"	"15:00"	"+5.0"	"+0.11%"	"416,600"
"日本碍子"	"5333"	"東１"	"▲"	"1,644.0"	"15:00"	"-32.0"	"-1.91%"	"1,846,300"
"日本特殊陶業"	"5334"	"東１"	"▲"	"2,157.0"	"15:00"	"-14.0"	"-0.64%"	"756,100"
"ダントーホールディングス"	"5337"	"東１"	"▲"	"109.0"	"15:00"	"0.0"	"0.00%"	"13,900"
"アサヒ衛陶"	"5341"	"東２"	"▲"	"813.0"	"15:00"	"-6.0"	"-0.73%"	"3,000"
"ＭＡＲＵＷＡ"	"5344"	"東１"	"▲"	"6,010.0"	"15:00"	"-670.0"	"-10.03%"	"339,000"
"品川リフラクトリーズ"	"5351"	"東１"	"▲"	"3,300.0"	"15:00"	"-20.0"	"-0.60%"	"19,300"
"黒崎播磨"	"5352"	"東１"	"▲"	"5,850.0"	"15:00"	"-10.0"	"-0.17%"	"23,200"
"日本坩堝"	"5355"	"東２"	"▲"	"2,946.0"	"09:00"	"+25.0"	"+0.86%"	"600"
"ヨータイ"	"5357"	"東１"	"▼"	"521.0"	"15:00"	"-8.0"	"-1.51%"	"130,500"
"イソライト"	"5358"	"東１"	"▼"	"510.0"	"15:00"	"-3.0"	"-0.58%"	"63,400"
"東京窯業"	"5363"	"東１"	"▼"	"368.0"	"15:00"	"-5.0"	"-1.34%"	"64,200"
"ニッカトー"	"5367"	"東１"	"▼"	"902.0"	"15:00"	"-3.0"	"-0.33%"	"31,000"
"新東"	"5380"	"ＪＱ"	""	"2,245.0"	"  :  "	"0.0"	"0.00%"	"0"
"ＭＩＰＯＸ"	"5381"	"ＪＱ"	"▼"	"353.0"	"15:00"	"-1.0"	"-0.28%"	"19,300"
"フジミインコーポレーテッド"	"5384"	"東１"	"▼"	"2,571.0"	"15:00"	"-2.0"	"-0.08%"	"106,700"
"鶴弥"	"5386"	"東２"	"▲"	"420.0"	"15:00"	"+3.0"	"+0.72%"	"6,100"
"チヨダウーテ"	"5387"	"ＪＱ"	"▲"	"410.0"	"15:00"	"-19.0"	"-4.43%"	"600"
"クニミネ工業"	"5388"	"東１"	"▼"	"849.0"	"15:00"	"-16.0"	"-1.85%"	"12,800"
"エーアンドエーマテリアル"	"5391"	"東１"	"▲"	"1,041.0"	"15:00"	"-6.0"	"-0.57%"	"4,000"
"ニチアス"	"5393"	"東１"	"▼"	"2,142.0"	"15:00"	"+1.0"	"+0.05%"	"195,200"
"理研コランダム"	"5395"	"東２"	""	"2,350.0"	"  :  "	"0.0"	"0.00%"	"0"
"日本製鉄"	"5401"	"東１"	"▼"	"1,980.5"	"15:00"	"-12.5"	"-0.63%"	"2,682,700"
"神戸製鋼所"	"5406"	"東１"	"▲"	"849.0"	"15:00"	"-10.0"	"-1.16%"	"2,263,700"
"中山製鋼所"	"5408"	"東１"	"▼"	"516.0"	"15:00"	"-2.0"	"-0.39%"	"64,400"
"合同製鐵"	"5410"	"東１"	"▼"	"1,728.0"	"15:00"	"-23.0"	"-1.31%"	"39,200"
"ＪＦＥホールディングス"	"5411"	"東１"	"▼"	"1,905.0"	"15:00"	"-11.0"	"-0.57%"	"2,384,900"
"ポスコＡＤＲ"	"5412"	"東１"	""	"-"	"  :  "	""	""	"0"
"東京製鐵"	"5423"	"東１"	"▼"	"950.0"	"15:00"	"+6.0"	"+0.64%"	"1,154,800"
"共英製鋼"	"5440"	"東１"	"▼"	"1,843.0"	"15:00"	"+125.0"	"+7.28%"	"275,100"
"大和工業"	"5444"	"東１"	"▼"	"3,075.0"	"15:00"	"-5.0"	"-0.16%"	"477,000"
"東京鐵鋼"	"5445"	"東１"	"▼"	"1,227.0"	"15:00"	"+5.0"	"+0.41%"	"13,100"
"北越メタル"	"5446"	"東２"	"▲"	"1,090.0"	"13:58"	"+14.0"	"+1.30%"	"1,500"
"大阪製鐵"	"5449"	"東１"	"▼"	"1,905.0"	"15:00"	"-47.0"	"-2.41%"	"41,500"
"淀川製鋼所"	"5451"	"東１"	"▼"	"2,116.0"	"15:00"	"-24.0"	"-1.12%"	"32,900"
"朝日工業"	"5456"	"ＪＱ"	""	"1,795.0"	"  :  "	"0.0"	"0.00%"	"0"
"高砂鐵工"	"5458"	"東２"	""	"735.0"	"  :  "	"0.0"	"0.00%"	"0"
"丸一鋼管"	"5463"	"東１"	"▲"	"3,070.0"	"15:00"	"-65.0"	"-2.07%"	"173,300"
"モリ工業"	"5464"	"東１"	"▼"	"2,547.0"	"15:00"	"-41.0"	"-1.58%"	"4,900"
"大同特殊鋼"	"5471"	"東１"	"▼"	"4,510.0"	"15:00"	"-180.0"	"-3.84%"	"339,600"
"日本高周波"	"5476"	"東１"	"▲"	"530.0"	"15:00"	"+2.0"	"+0.38%"	"15,200"
"日本冶金工"	"5480"	"東１"	"▲"	"253.0"	"15:00"	"-1.0"	"-0.39%"	"1,839,800"
"山陽特殊製鋼"	"5481"	"東１"	"▼"	"2,224.0"	"15:00"	"-35.0"	"-1.55%"	"55,400"
"愛知製鋼"	"5482"	"東１"	"▼"	"3,405.0"	"15:00"	"-70.0"	"-2.01%"	"22,600"
"東北特殊鋼"	"5484"	"ＪＱ"	"▲"	"1,388.0"	"15:00"	"+12.0"	"+0.87%"	"2,700"
"日立金属"	"5486"	"東１"	"▲"	"1,281.0"	"15:00"	"-22.0"	"-1.69%"	"2,773,000"
"日本金属"	"5491"	"東１"	"▲"	"1,187.0"	"15:00"	"-9.0"	"-0.75%"	"9,100"
"大平洋金属"	"5541"	"東１"	"▼"	"2,431.0"	"15:00"	"-43.0"	"-1.74%"	"391,900"
"新報国製鉄"	"5542"	"ＪＱ"	"▼"	"1,207.0"	"15:00"	"-2.0"	"-0.17%"	"2,700"
"新日本電工"	"5563"	"東１"	"▼"	"232.0"	"15:00"	"0.0"	"0.00%"	"468,800"
"栗本鉄工所"	"5602"	"東１"	"▲"	"1,451.0"	"15:00"	"-2.0"	"-0.14%"	"9,600"
"虹技"	"5603"	"東１"	"▼"	"1,381.0"	"15:00"	"-7.0"	"-0.50%"	"1,500"
"日本鋳造"	"5609"	"東２"	"▼"	"762.0"	"14:56"	"-7.0"	"-0.91%"	"1,700"
"大和重工"	"5610"	"東２"	"▼"	"1,026.0"	"14:59"	"-4.0"	"-0.39%"	"1,300"
"日本鋳鉄管"	"5612"	"東１"	"▲"	"774.0"	"15:00"	"-65.0"	"-7.75%"	"38,300"
"川金ホールディングス"	"5614"	"東２"	"▲"	"381.0"	"15:00"	"+1.0"	"+0.26%"	"24,200"
"日本製鋼所"	"5631"	"東１"	"▼"	"2,136.0"	"15:00"	"+1.0"	"+0.05%"	"326,100"
"三菱製鋼"	"5632"	"東１"	"▼"	"1,610.0"	"15:00"	"+6.0"	"+0.37%"	"29,300"
"メタルアート"	"5644"	"東２"	"▼"	"1,304.0"	"09:00"	"0.0"	"0.00%"	"3,600"
"日亜鋼業"	"5658"	"東１"	"▼"	"344.0"	"15:00"	"-5.0"	"-1.43%"	"44,700"
"日本精線"	"5659"	"東１"	"▼"	"2,897.0"	"15:00"	"-363.0"	"-11.13%"	"84,400"
"神鋼鋼線"	"5660"	"東２"	"▼"	"996.0"	"14:15"	"-6.0"	"-0.60%"	"5,500"
"パウダーテック"	"5695"	"ＪＱ"	"▼"	"2,801.0"	"15:00"	"-13.0"	"-0.46%"	"800"
"サンユウ"	"5697"	"東２"	"▲"	"524.0"	"15:00"	"-10.0"	"-1.87%"	"7,000"
"エンビプロＨＤ"	"5698"	"東１"	"▲"	"636.0"	"15:00"	"+16.0"	"+2.58%"	"87,400"
"イボキン"	"5699"	"ＪＱ"	"▼"	"2,173.0"	"15:00"	"+5.0"	"+0.23%"	"12,300"
"銘柄名"	"銘柄コード"	"市場部略称"	"T"	"現在値"	"時刻"	"前日比"	"前日比率"	"出来高"
"大紀アルミニウム"	"5702"	"東１"	"▲"	"647.0"	"15:00"	"-1.0"	"-0.15%"	"98,800"
"日本軽金属ＨＤ"	"5703"	"東１"	"▼"	"245.0"	"15:00"	"-2.0"	"-0.81%"	"2,098,500"
"ＪＭＣ"	"5704"	"東マ"	"▼"	"1,149.0"	"15:00"	"-25.0"	"-2.13%"	"65,900"
"三井金属"	"5706"	"東１"	"▲"	"2,876.0"	"15:00"	"-42.0"	"-1.44%"	"935,400"
"東邦亜鉛"	"5707"	"東１"	"▼"	"2,901.0"	"15:00"	"-72.0"	"-2.42%"	"220,100"
"三菱マテリアル"	"5711"	"東１"	"▲"	"2,884.0"	"15:00"	"-102.0"	"-3.42%"	"933,100"
"住友鉱山"	"5713"	"東１"	"▼"	"3,479.0"	"15:00"	"-15.0"	"-0.43%"	"1,661,400"
"ＤＯＷＡホールディングス"	"5714"	"東１"	"▼"	"3,615.0"	"15:00"	"-70.0"	"-1.90%"	"209,500"
"古河機金"	"5715"	"東１"	"▼"	"1,380.0"	"15:00"	"-10.0"	"-0.72%"	"69,200"
"エス・サイエンス"	"5721"	"東１"	"▼"	"61.0"	"15:00"	"-1.0"	"-1.61%"	"175,200"
"アサカ理研"	"5724"	"ＪＱ"	"▼"	"1,216.0"	"15:00"	"-16.0"	"-1.30%"	"4,500"
"大阪チタニウム"	"5726"	"東１"	"▲"	"1,537.0"	"15:00"	"-14.0"	"-0.90%"	"379,700"
"東邦チタニウム"	"5727"	"東１"	"▼"	"930.0"	"15:00"	"-14.0"	"-1.48%"	"752,900"
"日本精鉱"	"5729"	"東２"	"▲"	"2,199.0"	"09:03"	"+61.0"	"+2.85%"	"500"
"ＵＡＣＪ"	"5741"	"東１"	"▼"	"2,243.0"	"15:00"	"+8.0"	"+0.36%"	"162,900"
"エヌアイシ・オートテック"	"5742"	"ＪＱ"	"▲"	"808.0"	"15:00"	"-2.0"	"-0.25%"	"2,200"
"日本伸銅"	"5753"	"東２"	"▲"	"1,247.0"	"13:40"	"+1.0"	"+0.08%"	"600"
"ＣＫサンエツ"	"5757"	"東１"	"▼"	"2,893.0"	"15:00"	"-2.0"	"-0.07%"	"2,400"
"東邦金属"	"5781"	"東２"	"▼"	"826.0"	"15:00"	"-16.0"	"-1.90%"	"2,000"
"古河電工"	"5801"	"東１"	"▲"	"2,928.0"	"15:00"	"-43.0"	"-1.45%"	"798,500"
"住友電工"	"5802"	"東１"	"▼"	"1,474.5"	"15:00"	"-22.0"	"-1.47%"	"2,452,500"
"フジクラ"	"5803"	"東１"	"▲"	"458.0"	"15:00"	"-8.0"	"-1.72%"	"2,175,500"
"昭和電線ＨＬＤＧＳ"	"5805"	"東１"	"▼"	"770.0"	"15:00"	"+3.0"	"+0.39%"	"81,100"
"東京特殊電線"	"5807"	"東１"	"▼"	"1,898.0"	"15:00"	"+3.0"	"+0.16%"	"7,300"
"タツタ電線"	"5809"	"東１"	"▼"	"486.0"	"15:00"	"-2.0"	"-0.41%"	"76,400"
"オーナンバ"	"5816"	"東２"	"▲"	"383.0"	"15:00"	"-4.0"	"-1.03%"	"1,900"
"ＪＭＡＣＳ"	"5817"	"東２"	"▲"	"368.0"	"15:00"	"-19.0"	"-4.91%"	"63,000"
"カナレ電気"	"5819"	"東１"	"▼"	"1,929.0"	"15:00"	"-26.0"	"-1.33%"	"6,200"
"三ッ星"	"5820"	"ＪＱ"	"▼"	"1,550.0"	"12:42"	"-10.0"	"-0.64%"	"400"
"平河ヒューテック"	"5821"	"東１"	"▼"	"1,382.0"	"15:00"	"-9.0"	"-0.65%"	"25,400"
"リョービ"	"5851"	"東１"	"▲"	"2,529.0"	"15:00"	"-49.0"	"-1.90%"	"51,700"
"アーレステイ"	"5852"	"東１"	"▼"	"636.0"	"15:00"	"-12.0"	"-1.85%"	"91,400"
"エルアイイーエイチ"	"5856"	"東２"	"▼"	"57.0"	"15:00"	"-1.0"	"-1.72%"	"21,300"
"アサヒＨＤ"	"5857"	"東１"	"▲"	"2,160.0"	"15:00"	"+13.0"	"+0.61%"	"331,600"
"ダイケン"	"5900"	"ＪＱ"	"▼"	"666.0"	"15:00"	"0.0"	"0.00%"	"1,500"
"東洋製罐グループＨＤ"	"5901"	"東１"	"▼"	"2,219.0"	"15:00"	"-14.0"	"-0.63%"	"433,000"
"ホッカンホールディングス"	"5902"	"東１"	"▼"	"1,844.0"	"15:00"	"+21.0"	"+1.15%"	"9,100"
"シンポ"	"5903"	"ＪＱ"	"▼"	"1,211.0"	"15:00"	"-16.0"	"-1.30%"	"5,600"
"日本製罐"	"5905"	"東２"	"▲"	"1,032.0"	"14:27"	"-2.0"	"-0.19%"	"1,800"
"エムケー精工"	"5906"	"ＪＱ"	"▼"	"372.0"	"15:00"	"-14.0"	"-3.63%"	"53,900"
"ＪＦＥコンテイナー"	"5907"	"東２"	"▼"	"3,875.0"	"15:00"	"-65.0"	"-1.65%"	"400"
"コロナ"	"5909"	"東１"	"▲"	"1,051.0"	"15:00"	"-18.0"	"-1.68%"	"8,500"
"横河ブリッジＨＬＤＧＳ"	"5911"	"東１"	"▼"	"1,801.0"	"15:00"	"+8.0"	"+0.45%"	"115,100"
"ＯＳＪＢＨＤ"	"5912"	"東１"	"▼"	"265.0"	"15:00"	"-3.0"	"-1.12%"	"534,700"
"駒井ハルテック"	"5915"	"東１"	"▼"	"1,799.0"	"15:00"	"-6.0"	"-0.33%"	"4,800"
"瀧上工業"	"5918"	"東２"	""	"4,900.0"	"09:00"	"0.0"	"0.00%"	"100"
"川岸工業"	"5921"	"東２"	"▼"	"2,511.0"	"09:00"	"0.0"	"0.00%"	"700"
"那須電機"	"5922"	"東２"	"▲"	"4,295.0"	"15:00"	"+10.0"	"+0.23%"	"1,000"
"高田機工"	"5923"	"東１"	"▼"	"2,565.0"	"15:00"	"-21.0"	"-0.81%"	"1,800"
"アルメタックス"	"5928"	"東２"	"▲"	"282.0"	"13:31"	"-2.0"	"-0.70%"	"1,200"
"三和ホールディングス"	"5929"	"東１"	"▲"	"1,334.0"	"15:00"	"+2.0"	"+0.15%"	"405,800"
"文化シヤツタ－"	"5930"	"東１"	"▼"	"818.0"	"15:00"	"+5.0"	"+0.62%"	"75,200"
"三協立山"	"5932"	"東１"	"▼"	"1,235.0"	"15:00"	"-1.0"	"-0.08%"	"57,800"
"アルインコ"	"5933"	"東１"	"▲"	"972.0"	"15:00"	"-15.0"	"-1.52%"	"29,900"
"元旦ビューティ工業"	"5935"	"ＪＱ"	""	"3,810.0"	"  :  "	"0.0"	"0.00%"	"0"
"東洋シヤツタ－"	"5936"	"東１"	"▼"	"705.0"	"15:00"	"-10.0"	"-1.40%"	"6,400"
"ＬＩＸＩＬグループ"	"5938"	"東１"	"▼"	"1,447.0"	"15:00"	"-16.0"	"-1.09%"	"1,415,900"
"大谷工業"	"5939"	"ＪＱ"	"▼"	"3,745.0"	"09:02"	"-70.0"	"-1.83%"	"100"
"不二サッシ"	"5940"	"東２"	"▲"	"86.0"	"15:00"	"0.0"	"0.00%"	"312,800"
"中西製作所"	"5941"	"東２"	"▼"	"951.0"	"15:00"	"-25.0"	"-2.56%"	"800"
"日本フイルコン"	"5942"	"東１"	"▼"	"511.0"	"15:00"	"-8.0"	"-1.54%"	"19,600"
"ノーリツ"	"5943"	"東１"	"▼"	"1,722.0"	"15:00"	"-13.0"	"-0.75%"	"43,100"
"天龍製鋸"	"5945"	"ＪＱ"	"▲"	"3,235.0"	"15:00"	"+25.0"	"+0.78%"	"1,500"
"長府製作所"	"5946"	"東１"	"▼"	"2,347.0"	"15:00"	"-33.0"	"-1.39%"	"17,000"
"リンナイ"	"5947"	"東１"	"▼"	"7,480.0"	"15:00"	"-170.0"	"-2.22%"	"113,000"
"ユニプレス"	"5949"	"東１"	"▲"	"1,715.0"	"15:00"	"-27.0"	"-1.55%"	"209,600"
"日本パワーファスニング"	"5950"	"東２"	"▼"	"147.0"	"15:00"	"+4.0"	"+2.80%"	"11,000"
"ダイニチ工業"	"5951"	"東１"	"▼"	"667.0"	"15:00"	"-4.0"	"-0.60%"	"9,100"
"アマテイ"	"5952"	"東２"	"▼"	"123.0"	"15:00"	"+1.0"	"+0.82%"	"39,700"
"ヤマシナ"	"5955"	"東２"	"▼"	"69.0"	"15:00"	"+1.0"	"+1.47%"	"430,400"
"トーソー"	"5956"	"東２"	"▲"	"509.0"	"15:00"	"-1.0"	"-0.20%"	"1,200"
"日東精工"	"5957"	"東１"	"▼"	"655.0"	"15:00"	"+13.0"	"+2.02%"	"134,100"
"三洋工業"	"5958"	"東１"	"▼"	"1,855.0"	"15:00"	"+7.0"	"+0.38%"	"1,800"
"岡部"	"5959"	"東１"	"▼"	"1,016.0"	"15:00"	"-1.0"	"-0.10%"	"55,100"
"浅香工業"	"5962"	"東２"	""	"1,809.0"	"  :  "	"0.0"	"0.00%"	"0"
"東洋刃物"	"5964"	"東２"	"▲"	"1,495.0"	"14:06"	"+17.0"	"+1.15%"	"1,700"
"フジマック"	"5965"	"東２"	"▼"	"793.0"	"15:00"	"-12.0"	"-1.49%"	"8,200"
"京都機械工具"	"5966"	"東２"	"▼"	"1,712.0"	"15:00"	"+2.0"	"+0.12%"	"2,400"
"ＴＯＮＥ"	"5967"	"東２"	"▲"	"2,798.0"	"15:00"	"+25.0"	"+0.90%"	"3,200"
"ロブテックス"	"5969"	"東２"	""	"2,175.0"	"14:43"	"0.0"	"0.00%"	"100"
"ジーテクト"	"5970"	"東１"	"▲"	"1,579.0"	"15:00"	"-55.0"	"-3.37%"	"69,400"
"共和工業所"	"5971"	"ＪＱ"	"▼"	"4,640.0"	"15:00"	"-65.0"	"-1.38%"	"1,000"
"トーアミ"	"5973"	"東２"	"▼"	"479.0"	"12:30"	"-1.0"	"-0.21%"	"700"
"中国工業"	"5974"	"東１"	"▼"	"542.0"	"15:00"	"-2.0"	"-0.37%"	"2,300"
"東プレ"	"5975"	"東１"	"▼"	"2,076.0"	"15:00"	"-24.0"	"-1.14%"	"102,600"
"高周波熱錬"	"5976"	"東１"	"▼"	"954.0"	"15:00"	"-1.0"	"-0.10%"	"34,500"
"東京製綱"	"5981"	"東１"	"▼"	"1,090.0"	"15:00"	"-16.0"	"-1.45%"	"49,100"
"マルゼン"	"5982"	"東２"	"▲"	"2,320.0"	"15:00"	"0.0"	"0.00%"	"7,700"
"イワブチ"	"5983"	"ＪＱ"	"▼"	"5,160.0"	"11:25"	"-20.0"	"-0.39%"	"100"
"兼房"	"5984"	"東２"	"▲"	"933.0"	"14:59"	"-4.0"	"-0.43%"	"4,000"
"サンコール"	"5985"	"東１"	"▼"	"605.0"	"15:00"	"-1.0"	"-0.17%"	"20,000"
"モリテックスチル"	"5986"	"東１"	"▼"	"399.0"	"15:00"	"-4.0"	"-0.99%"	"24,800"
"オーネックス"	"5987"	"ＪＱ"	"▼"	"1,063.0"	"15:00"	"-3.0"	"-0.28%"	"600"
"パイオラックス"	"5988"	"東１"	"▲"	"2,085.0"	"15:00"	"-81.0"	"-3.74%"	"125,300"
"エイチワン"	"5989"	"東１"	"▼"	"953.0"	"15:00"	"-25.0"	"-2.56%"	"42,900"
"スーパーツール"	"5990"	"ＪＱ"	"▼"	"2,310.0"	"15:00"	"-41.0"	"-1.74%"	"6,700"
"日本発条"	"5991"	"東１"	"▲"	"1,000.0"	"15:00"	"-28.0"	"-2.72%"	"769,700"
"中央発條"	"5992"	"東１"	"▼"	"2,933.0"	"15:00"	"-24.0"	"-0.81%"	"3,300"
"ファインシンター"	"5994"	"東２"	"▲"	"2,281.0"	"15:00"	"-60.0"	"-2.56%"	"4,300"
"協立エアテック"	"5997"	"ＪＱ"	"▼"	"744.0"	"15:00"	"-7.0"	"-0.93%"	"3,100"
"銘柄名"	"銘柄コード"	"市場部略称"	"T"	"現在値"	"時刻"	"前日比"	"前日比率"	"出来高"
"アドバネクス"	"5998"	"東１"	"▼"	"1,759.0"	"15:00"	"-31.0"	"-1.73%"	"8,200"
"イハラサイエンス"	"5999"	"ＪＱ"	"▼"	"1,265.0"	"15:00"	"-17.0"	"-1.33%"	"6,300"
"三浦工業"	"6005"	"東１"	"▲"	"2,823.0"	"15:00"	"+33.0"	"+1.18%"	"193,900"
"タクマ"	"6013"	"東１"	"▼"	"1,339.0"	"15:00"	"-4.0"	"-0.30%"	"135,100"
"ジャパンエンジンコーポ"	"6016"	"東２"	"▼"	"763.0"	"12:30"	"0.0"	"0.00%"	"400"
"阪神内燃機"	"6018"	"東２"	"▲"	"2,009.0"	"15:00"	"+58.0"	"+2.97%"	"500"
"赤阪鐵工所"	"6022"	"東２"	"▼"	"2,021.0"	"13:05"	"0.0"	"0.00%"	"300"
"ダイハツデイ－ゼル"	"6023"	"東２"	"▼"	"648.0"	"15:00"	"+13.0"	"+2.05%"	"15,200"
"ＧＭＯＴＥＣＨ"	"6026"	"東マ"	"▲"	"2,250.0"	"15:00"	"+65.0"	"+2.97%"	"7,600"
"弁護士ドットコム"	"6027"	"東マ"	"▼"	"4,315.0"	"15:00"	"0.0"	"0.00%"	"53,300"
"テクノプロ・ホールディング"	"6028"	"東１"	"▼"	"6,650.0"	"15:00"	"+80.0"	"+1.22%"	"203,600"
"アトラ"	"6029"	"東１"	"▼"	"373.0"	"15:00"	"-5.0"	"-1.32%"	"27,000"
"アドベンチャー"	"6030"	"東マ"	"▲"	"4,525.0"	"15:00"	"-70.0"	"-1.52%"	"22,500"
"サイジニア"	"6031"	"東マ"	"▲"	"1,123.0"	"15:00"	"-27.0"	"-2.35%"	"14,700"
"インターワークス"	"6032"	"東１"	"▼"	"668.0"	"15:00"	"+4.0"	"+0.60%"	"13,100"
"エクストリーム"	"6033"	"東マ"	"▼"	"2,073.0"	"15:00"	"-24.0"	"-1.14%"	"250,100"
"ＭＲＴ"	"6034"	"東マ"	"▼"	"984.0"	"15:00"	"-16.0"	"-1.60%"	"39,300"
"アイ・アールジャパンＨＤ"	"6035"	"東１"	"▲"	"1,907.0"	"15:00"	"-11.0"	"-0.57%"	"68,700"
"ＫｅｅＰｅｒ技研"	"6036"	"東１"	"▼"	"1,355.0"	"15:00"	"-25.0"	"-1.81%"	"10,900"
"ファーストロジック"	"6037"	"東１"	"▲"	"585.0"	"15:00"	"+3.0"	"+0.52%"	"42,200"
"イード"	"6038"	"東マ"	"▼"	"967.0"	"15:00"	"-26.0"	"-2.62%"	"134,300"
"日本動物高度医療"	"6039"	"東マ"	"▲"	"2,843.0"	"15:00"	"+30.0"	"+1.07%"	"22,500"
"日本スキー場開発"	"6040"	"東マ"	"▲"	"854.0"	"15:00"	"+1.0"	"+0.12%"	"1,700"
"ニッキ"	"6042"	"東２"	"▼"	"2,041.0"	"15:00"	"-6.0"	"-0.29%"	"500"
"三機サービス"	"6044"	"東１"	"▼"	"1,250.0"	"15:00"	"+30.0"	"+2.46%"	"50,500"
"レントラックス"	"6045"	"東マ"	"▼"	"635.0"	"15:00"	"-12.0"	"-1.85%"	"85,400"
"リンクバル"	"6046"	"東マ"	"▼"	"954.0"	"15:00"	"+5.0"	"+0.53%"	"128,700"
"Ｇｕｎｏｓｙ"	"6047"	"東１"	"▼"	"1,657.0"	"15:00"	"+7.0"	"+0.42%"	"444,500"
"デザインワン・ジャパン"	"6048"	"東１"	"▲"	"333.0"	"15:00"	"-4.0"	"-1.19%"	"322,000"
"イトクロ"	"6049"	"東マ"	"▼"	"2,388.0"	"15:00"	"-70.0"	"-2.85%"	"33,000"
"イー・ガーディアン"	"6050"	"東１"	"▼"	"2,107.0"	"15:00"	"-7.0"	"-0.33%"	"56,100"
"リブセンス"	"6054"	"東１"	"▼"	"269.0"	"15:00"	"-2.0"	"-0.74%"	"24,500"
"ジャパンマテリアル"	"6055"	"東１"	"▼"	"1,649.0"	"15:00"	"-17.0"	"-1.02%"	"216,300"
"ベクトル"	"6058"	"東１"	"▲"	"1,317.0"	"15:00"	"+2.0"	"+0.15%"	"504,800"
"ウチヤマホールディングス"	"6059"	"東１"	"▼"	"486.0"	"15:00"	"-2.0"	"-0.41%"	"37,200"
"こころネット"	"6060"	"ＪＱ"	"▼"	"986.0"	"13:32"	"0.0"	"0.00%"	"500"
"ユニバーサル園芸社"	"6061"	"ＪＱ"	"▲"	"1,665.0"	"15:00"	"+22.0"	"+1.34%"	"1,800"
"チャームケアコーポレーション"	"6062"	"東１"	"▲"	"1,668.0"	"15:00"	"+13.0"	"+0.79%"	"109,600"
"日本エマージェンシーＡ"	"6063"	"ＪＱ"	"▲"	"1,624.0"	"15:00"	"+39.0"	"+2.46%"	"12,100"
"アクトコール"	"6064"	"東マ"	"▲"	"1,110.0"	"15:00"	"-10.0"	"-0.89%"	"193,200"
"ライクキッズネクスト"	"6065"	"東１"	"▲"	"838.0"	"15:00"	"-12.0"	"-1.41%"	"17,900"
"新東京グループ"	"6066"	"東マ"	""	"410.0"	"  :  "	"0.0"	"0.00%"	"0"
"インパクトＨＤ"	"6067"	"東マ"	"▼"	"3,470.0"	"15:00"	"0.0"	"0.00%"	"68,200"
"トレンダーズ"	"6069"	"東マ"	"▼"	"634.0"	"15:00"	"-3.0"	"-0.47%"	"180,000"
"キャリアリンク"	"6070"	"東１"	"▼"	"436.0"	"15:00"	"-4.0"	"-0.91%"	"10,200"
"ＩＢＪ"	"6071"	"東１"	"▼"	"899.0"	"15:00"	"-27.0"	"-2.92%"	"194,700"
"地盤ネットＨＯＬＤ"	"6072"	"東マ"	"▼"	"171.0"	"15:00"	"-1.0"	"-0.58%"	"21,200"
"アサンテ"	"6073"	"東１"	"▼"	"2,170.0"	"15:00"	"+8.0"	"+0.37%"	"5,200"
"ジェイエスエス"	"6074"	"ＪＱ"	"▼"	"627.0"	"15:00"	"+1.0"	"+0.16%"	"2,400"
"Ｎ・フィールド"	"6077"	"東１"	"▼"	"721.0"	"15:00"	"-5.0"	"-0.69%"	"63,900"
"バリューＨＲ"	"6078"	"東１"	"▼"	"2,571.0"	"15:00"	"-2.0"	"-0.08%"	"8,800"
"Ｍ＆Ａキャピタルパートナー"	"6080"	"東１"	"▲"	"4,725.0"	"15:00"	"+80.0"	"+1.72%"	"283,100"
"アライドアーキテクツ"	"6081"	"東マ"	"▼"	"528.0"	"15:00"	"+16.0"	"+3.13%"	"58,200"
"ライドオンエクスプレスＨＤ"	"6082"	"東１"	"▼"	"1,200.0"	"15:00"	"-2.0"	"-0.17%"	"64,400"
"ＥＲＩホールディングス"	"6083"	"東１"	"▲"	"954.0"	"15:00"	"-2.0"	"-0.21%"	"28,500"
"アーキテクツＳＪ"	"6085"	"東マ"	"▲"	"1,589.0"	"15:00"	"0.0"	"0.00%"	"700"
"シンメンテホールディングス"	"6086"	"東マ"	"▼"	"2,224.0"	"15:00"	"+6.0"	"+0.27%"	"4,800"
"アビスト"	"6087"	"東１"	"▼"	"3,155.0"	"15:00"	"-55.0"	"-1.71%"	"8,300"
"シグマクシス"	"6088"	"東１"	"▲"	"1,079.0"	"15:00"	"+24.0"	"+2.27%"	"257,400"
"ウィルグループ"	"6089"	"東１"	"▲"	"1,130.0"	"15:00"	"-4.0"	"-0.35%"	"161,000"
